iter	Logloss
0	0.3639514033
1	0.2563577382
2	0.2033419718
3	0.1830709178
4	0.1728458388
5	0.1682569896
6	0.1650970599
7	0.1638721234
8	0.1622102655
9	0.1616536632
10	0.1608623788
11	0.1595624407
12	0.158955638
13	0.1585151855
14	0.158145321
15	0.1565744035
16	0.1560604164
17	0.155840996
18	0.155383866
19	0.1550668675
20	0.1547656039
21	0.1546540308
22	0.1544999064
23	0.1544191504
24	0.1542389242
25	0.1541072649
26	0.1537941183
27	0.1534598209
28	0.1533358467
29	0.153171248
30	0.152905253
31	0.1526527239
32	0.1525888953
33	0.1524480453
34	0.1514898606
35	0.150900941
36	0.1508212326
37	0.1506034079
38	0.1504918723
39	0.1503817095
40	0.1500803218
41	0.1498831336
42	0.1496861528
43	0.1494365016
44	0.1491595868
45	0.1490122062
46	0.1487852487
47	0.1487057979
48	0.148499291
49	0.1476971182
50	0.1475539233
51	0.1474696848
52	0.1473240803
53	0.1470683425
54	0.1469683941
55	0.146804869
56	0.1461645223
57	0.1456469102
58	0.1451653309
59	0.1450659071
60	0.1449147765
61	0.1444632445
62	0.144302262
63	0.1441601663
64	0.1440008065
65	0.1438246918
66	0.1437320938
67	0.1435932313
68	0.1435538076
69	0.1434652071
70	0.143150379
71	0.1430223614
72	0.1426656506
73	0.1426025554
74	0.1424205219
75	0.1422690947
76	0.1421679735
77	0.1420108255
78	0.1419239217
79	0.1417723045
80	0.1416705497
81	0.1414280059
82	0.1413854287
83	0.1412745383
84	0.1411640444
85	0.1411017732
86	0.1410480996
87	0.1409530224
88	0.1408781924
89	0.1407950284
90	0.1407304431
91	0.140624131
92	0.1404969614
93	0.1404314507
94	0.140334723
95	0.1403146689
96	0.1402222274
97	0.1401467488
98	0.1400363525
99	0.1399802248
100	0.1398553726
101	0.1398031042
102	0.139778805
103	0.1397200031
104	0.1396232494
105	0.1395652836
106	0.1394511201
107	0.1391480993
108	0.1390385195
109	0.1389577522
110	0.1389396239
111	0.1388477649
112	0.1387790716
113	0.1386882523
114	0.1386101273
115	0.1384926473
116	0.1384244098
117	0.1383373909
118	0.1382784427
119	0.1382212232
120	0.1381577708
121	0.1380590833
122	0.1379970946
123	0.1379472852
124	0.1379370505
125	0.1378488544
126	0.1377878413
127	0.1375519797
128	0.13753577
129	0.1373029922
130	0.1372292505
131	0.1371413267
132	0.1370725328
133	0.1370524262
134	0.1370005726
135	0.1369459866
136	0.1368550198
137	0.1368016672
138	0.1367732524
139	0.1367057541
140	0.1366236698
141	0.1365665419
142	0.1365350864
143	0.1365302906
144	0.1364712457
145	0.1364640076
146	0.1364488681
147	0.1364135111
148	0.1363716469
149	0.1362590703
150	0.1361499716
151	0.1360899476
152	0.1360370854
153	0.1359698031
154	0.1358927543
155	0.1358346781
156	0.1357981318
157	0.1357129904
158	0.1357005384
159	0.1356529293
160	0.135528778
161	0.1354884791
162	0.1353963931
163	0.1353548064
164	0.1353277912
165	0.1352900026
166	0.1352183261
167	0.135186551
168	0.1351008015
169	0.1350169427
170	0.134970618
171	0.134904884
172	0.1348242151
173	0.1347613592
174	0.1347196643
175	0.1346809573
176	0.1346451947
177	0.1345975982
178	0.1345713866
179	0.1345400267
180	0.1344320782
181	0.1344113946
182	0.1343546938
183	0.1343277247
184	0.1342738773
185	0.1342228822
186	0.1341667472
187	0.1340971793
188	0.1340071379
189	0.1339697635
190	0.1339698236
191	0.133949186
192	0.1338465142
193	0.1338022183
194	0.1337677898
195	0.1337285055
196	0.1336642673
197	0.1335901031
198	0.1335188384
199	0.1334575975
