iter	Passed	Remaining
0	159	31757
1	169	16806
2	179	11819
3	187	9199
4	196	7671
5	206	6673
6	214	5923
7	222	5346
8	230	4890
9	238	4533
10	246	4232
11	254	3984
12	263	3785
13	272	3619
14	281	3467
15	290	3335
16	297	3205
17	306	3099
18	314	2994
19	322	2906
20	331	2822
21	339	2746
22	347	2675
23	357	2621
24	365	2560
25	373	2501
26	382	2452
27	391	2404
28	400	2362
29	409	2321
30	419	2284
31	429	2254
32	438	2217
33	446	2181
34	455	2148
35	464	2116
36	472	2079
37	480	2047
38	488	2017
39	496	1987
40	505	1959
41	513	1932
42	521	1905
43	530	1880
44	539	1857
45	548	1835
46	556	1811
47	564	1787
48	573	1767
49	581	1744
50	590	1723
51	599	1705
52	608	1687
53	616	1668
54	625	1649
55	633	1629
56	642	1611
57	650	1591
58	658	1573
59	666	1555
60	675	1538
61	684	1524
62	692	1505
63	700	1488
64	708	1471
65	716	1455
66	725	1439
67	734	1425
68	742	1408
69	749	1392
70	757	1377
71	766	1361
72	774	1348
73	783	1334
74	792	1320
75	799	1305
76	808	1291
77	817	1278
78	825	1264
79	833	1250
80	841	1235
81	848	1221
82	856	1207
83	864	1194
84	873	1182
85	882	1169
86	891	1157
87	899	1144
88	907	1131
89	914	1118
90	922	1104
91	930	1092
92	940	1081
93	948	1069
94	957	1058
95	964	1045
96	973	1033
97	982	1022
98	991	1011
99	999	999
100	1007	987
101	1016	976
102	1025	965
103	1036	956
104	1042	943
105	1051	932
106	1060	921
107	1068	910
108	1076	898
109	1083	886
110	1090	874
111	1099	864
112	1108	853
113	1116	842
114	1124	831
115	1133	820
116	1142	810
117	1151	799
118	1160	789
119	1169	779
120	1179	770
121	1188	759
122	1196	749
123	1206	739
124	1214	728
125	1223	718
126	1231	708
127	1241	698
128	1250	688
129	1259	678
130	1267	667
131	1276	657
132	1284	647
133	1292	636
134	1300	626
135	1309	616
136	1318	606
137	1327	596
138	1336	586
139	1344	576
140	1353	566
141	1362	556
142	1371	546
143	1380	536
144	1389	526
145	1398	517
146	1408	507
147	1420	498
148	1432	490
149	1442	480
150	1453	471
151	1462	461
152	1471	452
153	1480	442
154	1488	432
155	1496	422
156	1505	412
157	1514	402
158	1521	392
159	1530	382
160	1539	372
161	1548	363
162	1557	353
163	1565	343
164	1572	333
165	1580	323
166	1588	313
167	1596	304
168	1604	294
169	1613	284
170	1620	274
171	1629	265
172	1637	255
173	1646	245
174	1654	236
175	1663	226
176	1671	217
177	1680	207
178	1688	198
179	1697	188
180	1705	179
181	1713	169
182	1721	159
183	1728	150
184	1736	140
185	1744	131
186	1752	121
187	1760	112
188	1768	102
189	1775	93
190	1782	83
191	1791	74
192	1799	65
193	1807	55
194	1815	46
195	1822	37
196	1831	27
197	1839	18
198	1847	9
199	1856	0
